"cl-rfile"
"Iteration" "cl etc.."
("Iteration" "cl" "cl")
3000 1.46963579359146 1.46963579359146
3001 1.461786885749831 1.461786885749831
3002 1.558497765167679 1.558497765167679
3003 1.614517086456201 1.614517086456201
3004 1.632792066610174 1.632792066610174
3005 1.643514880223672 1.643514880223672
3006 1.646116469349189 1.646116469349189
3007 1.646604755445787 1.646604755445787
3008 1.64387382757751 1.64387382757751
3009 1.64059698835367 1.64059698835367
3010 1.63563255516657 1.63563255516657
3011 1.630357341011448 1.630357341011448
3012 1.624451580182458 1.624451580182458
3013 1.618438661128389 1.618438661128389
3014 1.612469510131158 1.612469510131158
3015 1.606479246316739 1.606479246316739
3016 1.600805857169866 1.600805857169866
3017 1.595591778525635 1.595591778525635
3018 1.591290642640903 1.591290642640903
3019 1.587856505134148 1.587856505134148
3020 1.585675784239016 1.585675784239016
3021 1.584790022688296 1.584790022688296
3022 1.585689830564992 1.585689830564992
3023 1.588567250441284 1.588567250441284
3024 1.592745303338654 1.592745303338654
3025 1.597530515109448 1.597530515109448
3026 1.602567722519309 1.602567722519309
3027 1.607531280676598 1.607531280676598
3028 1.612220984539118 1.612220984539118
3029 1.616542238233688 1.616542238233688
3030 1.620402685199046 1.620402685199046
3031 1.623773395353386 1.623773395353386
3032 1.62666912439609 1.62666912439609
3033 1.628889972165859 1.628889972165859
3034 1.6306886039703 1.6306886039703
3035 1.632240808759745 1.632240808759745
3036 1.633491036313818 1.633491036313818
3037 1.634491997110366 1.634491997110366
3038 1.635222493537865 1.635222493537865
3039 1.635730353482884 1.635730353482884
3040 1.636020771314133 1.636020771314133
3041 1.636140619944928 1.636140619944928
3042 1.636114060900841 1.636114060900841
3043 1.635979983947075 1.635979983947075
3044 1.635769084609815 1.635769084609815
3045 1.63551054380331 1.63551054380331
3046 1.635233659519874 1.635233659519874
3047 1.634957435542845 1.634957435542845
3048 1.634704858944157 1.634704858944157
3049 1.634488012592818 1.634488012592818
3050 1.634319710645148 1.634319710645148
3051 1.634203898426011 1.634203898426011
3052 1.634144909774385 1.634144909774385
3053 1.634154543870922 1.634154543870922
3054 1.634246258164047 1.634246258164047
3055 1.634403980451994 1.634403980451994
3056 1.634607441870045 1.634607441870045
3057 1.634841141380924 1.634841141380924
3058 1.635088521203624 1.635088521203624
3059 1.635338671084969 1.635338671084969
3060 1.635578942508311 1.635578942508311
3061 1.635776753987507 1.635776753987507
3062 1.635946156386501 1.635946156386501
3063 1.6361009381134 1.6361009381134
3064 1.636235302168233 1.636235302168233
3065 1.636350868979838 1.636350868979838
3066 1.636443497404674 1.636443497404674
3067 1.63651494571916 1.63651494571916
3068 1.636564374959761 1.636564374959761
3069 1.63659431487518 1.63659431487518
3070 1.63660615531639 1.63660615531639
3071 1.636602465585735 1.636602465585735
3072 1.636586087488336 1.636586087488336
3073 1.636559318467527 1.636559318467527
3074 1.636525263205944 1.636525263205944
3075 1.636486084381467 1.636486084381467
3076 1.636444651253323 1.636444651253323
3077 1.636402612270222 1.636402612270222
3078 1.636362148569827 1.636362148569827
3079 1.636324332191605 1.636324332191605
3080 1.636290564512683 1.636290564512683
3081 1.636261325762953 1.636261325762953
3082 1.636237306622387 1.636237306622387
3083 1.636218475246137 1.636218475246137
3084 1.636204984384801 1.636204984384801
3085 1.636196413420754 1.636196413420754
3086 1.636192560158214 1.636192560158214
3087 1.636192744918807 1.636192744918807
3088 1.636196569728267 1.636196569728267
3089 1.636203226307741 1.636203226307741
3090 1.636212253846546 1.636212253846546
3091 1.636222813341726 1.636222813341726
3092 1.636234474129679 1.636234474129679
3093 1.636246457796186 1.636246457796186
3094 1.636258434412512 1.636258434412512
3095 1.636269745632465 1.636269745632465
3096 1.636280206067809 1.636280206067809
3097 1.636289314013146 1.636289314013146
3098 1.636297049092121 1.636297049092121
3099 1.636303075849859 1.636303075849859
3100 1.636307533287543 1.636307533287543
3101 1.63631024676875 1.63631024676875
3102 1.636311488001605 1.636311488001605
3103 1.63631117324073 1.63631117324073
3104 1.6363096588692 1.6363096588692
3105 1.636306938066279 1.636306938066279
3106 1.636303416670228 1.636303416670228
3107 1.636299113618175 1.636299113618175
3108 1.636294437406371 1.636294437406371
3109 1.636289392811236 1.636289392811236
3110 1.636284361223332 1.636284361223332
3111 1.636279310759238 1.636279310759238
3112 1.636274578058019 1.636274578058019
3113 1.636270081932829 1.636270081932829
3114 1.636266107501288 1.636266107501288
3115 1.636262521823261 1.636262521823261
3116 1.636259559402222 1.636259559402222
3117 1.636257040305328 1.636257040305328
3118 1.636255156145553 1.636255156145553
3119 1.636253688827026 1.636253688827026
3120 1.636252796929335 1.636252796929335
3121 1.636252235292927 1.636252235292927
3122 1.636252141306745 1.636252141306745
3123 1.636252255183709 1.636252255183709
3124 1.636252706085218 1.636252706085218
3125 1.636253232186347 1.636253232186347
3126 1.63625396602776 1.63625396602776
3127 1.636254653952962 1.636254653952962
3128 1.636255440760271 1.636255440760271
3129 1.63625608834634 1.63625608834634
3130 1.636256759134156 1.636256759134156
3131 1.636257233684414 1.636257233684414
3132 1.63625769300523 1.63625769300523
3133 1.636257935151917 1.636257935151917
3134 1.636258291842311 1.636258291842311
3135 1.636258246292387 1.636258246292387
3136 1.636258179988089 1.636258179988089
3137 1.6362579473611 1.6362579473611
3138 1.636257670580567 1.636257670580567
3139 1.636257309099129 1.636257309099129
3140 1.636256885303718 1.636256885303718
3141 1.63625643391921 1.63625643391921
