	polyline=false	
1	1000	0
1	998.474	0.326
1	993.903	1.298
1	986.314	2.896
1	975.752	5.092
1	962.276	7.845
1	945.966	11.105
1	926.917	14.814
1	905.24	18.91
1	881.064	23.324
1	854.532	27.985
1	825.802	32.822
1	795.047	37.76
1	762.452	42.726
1	728.216	47.648
1	692.545	52.453
1	655.659	57.071
1	617.783	61.432
1	579.153	65.468
1	540.006	69.113
1	500.587	72.303
1	461.143	74.977
1	421.921	77.082
1	383.032	78.547
1	344.68	79.18
1	307.289	78.93
1	271.106	77.795
1	236.371	75.79
1	203.313	72.945
1	172.151	69.308
1	143.089	64.94
1	116.313	59.917
1	91.996	54.325
1	70.289	48.257
1	51.324	41.808
1	35.214	35.076
1	22.051	28.152
1	11.907	21.12
1	4.833	14.049
1	0.86	6.997
1	0	0
1	2.223	-6.689
1	7.479	-12.828
1	15.723	-18.404
1	26.892	-23.408
1	40.906	-27.826
1	57.669	-31.651
1	77.071	-34.878
1	98.987	-37.507
1	123.281	-39.546
1	149.805	-41.012
1	178.401	-41.933
1	208.902	-42.343
1	241.131	-42.29
1	274.904	-41.827
1	310.028	-41.016
1	346.303	-39.923
1	383.522	-38.617
1	421.645	-37.134
1	460.398	-35.388
1	499.413	-33.414
1	538.453	-31.267
1	577.282	-28.997
1	615.662	-26.651
1	653.358	-24.269
1	690.139	-21.884
1	725.775	-19.529
1	760.046	-17.226
1	792.738	-14.999
1	823.646	-12.865
1	852.575	-10.842
1	879.342	-8.946
1	903.777	-7.191
1	925.723	-5.594
1	945.04	-4.169
1	961.603	-2.931
1	975.305	-1.896
1	986.056	-1.076
1	993.785	-0.481
1	998.444	-0.121
1	1000	0
