"lift-report-rfile"
"Iteration" "lift etc.."
("Iteration" "lift" "drag")
3000 1.037398217210797 0.01699841502991665
3001 1.032644024310073 0.05251564090498354
3002 1.165142897110569 0.07646470408766144
3003 1.183405271009777 0.08257900171985617
3004 1.084778473606947 0.0620227156006644
3005 1.068476064768087 0.0579588210754475
3006 1.046630794543396 0.05129548253025713
3007 1.049125361227897 0.05105830040075043
3008 1.06950232667806 0.05518974289155134
3009 1.079047428079141 0.05696704450023295
3010 1.084460656454146 0.05779727117300401
3011 1.089407753194306 0.05828916212720153
3012 1.093796244465674 0.0584519462613259
3013 1.097388037391593 0.05833476590708248
3014 1.099824996787003 0.0579451724119094
3015 1.101228138806438 0.05733623069776848
3016 1.102175270586299 0.05666723564345927
3017 1.103197016563561 0.05601797112624919
3018 1.104498779591663 0.05542807781698583
3019 1.10604495337225 0.05493671518379185
3020 1.108285206639346 0.05445547207563432
3021 1.109336294761156 0.05411114260022648
3022 1.112441795928422 0.0535820057698581
3023 1.113909242827032 0.05323589841665943
3024 1.116369503278608 0.05278584310766465
3025 1.118957874561023 0.05228575591380684
3026 1.121459000527251 0.05183111430523171
3027 1.124188501672288 0.05145227718538441
3028 1.127348567171272 0.05111486868132294
3029 1.13086950847075 0.05078389973949517
3030 1.13485575487148 0.05053912031352454
3031 1.138782557192345 0.05026492881705927
3032 1.145806497880087 0.05020632899768238
3033 1.148667724950915 0.04992637687706163
3034 1.156318578812259 0.04972873607950901
3035 1.159714819414173 0.04939179216455777
3036 1.169022603711037 0.04928451599661403
3037 1.173359928624108 0.04894901870090716
3038 1.183558080975154 0.04874894739102211
3039 1.188622282813524 0.04837077100564708
3040 1.198638696794977 0.0480556704024394
3041 1.204681707916955 0.04747156757619024
3042 1.214738011439229 0.04677584112625145
3043 1.220575363677029 0.04598784276178059
3044 1.229810578600818 0.0451208795298897
3045 1.234986383630271 0.04420244139861005
3046 1.240997642426171 0.04294160775874174
3047 1.247659610701156 0.04182891647878872
3048 1.2534953902686 0.04067332040114831
